traveltime,stop_id,stop_name,stop_lat,stop_lon
"(0, 59.0, ['8595935', '8595934', '8595939', '8595937', '8501210'])",8595935,"Lausanne, Stade de Coubertin",46.515385,6.6026983
"(0, 48.72, ['8593868', '8593866', '8592209', '8510422', '8595521', '8501210'])",8593868,"Chavannes-R., Concorde",46.532345,6.5743203
"(0, 27.07, ['8592218', '8592210', '8595521', '8501210'])",8592218,"Renens VD, Caudray",46.531727,6.5859175
"(0, 51.65, ['8592181', '8592180', '8592217', 'Parent8518452', '8592215', '8592114', '8501210'])",8592181,"Prilly, Huttins",46.53324,6.6084204
"(1, 'already visited', {'8501121:0:2', '8592146', '8592009', '8592193', '8591976', '8592147', '8593850', '8593795', '8509297', '8501120:0:70', '8504003:0:2', '8501120:0:4', '8579254', '8592185', '8501120:0:6', '8592153', '8592170', '8588440', '8592171', '8592199', '8579237', '8504003:0:1', '8504000', '8588445:0:B', 'Parent8501122', '8592155', '8588445', '8588446', '8592023', '8592133', '8588431', '8591981', 'Parent8501160', '8588442', 'Parent8501121', '8591978', '8595190', '8501120:0:5', '8592020', 'Parent8588445', '8589523', 'Parent8592050', '8592011', '8593861', '8501120:0:8', '8592151', '8592050', '8592045', '8501160:0:1', '8501160:0:2', '8592164', '8579256', '8592152', '8592077', '8504010:0:2', '8592167', '8592083', '8592050:0:C', '8592183', '8592157', '8592012', '8592038', '8592149', '8588443', '8592145', '8501120', '8504010:0:1', 'Parent8504010', '8592172', 'Parent8501181', '8593806', '8501122:0:1', '8592062', '8592136', '8591988', '8592098', '8590442', 'Parent8504003', '8592191', '8501120:0:3', '8501181:0:1', '8504003', '8592177', '8579257', '8592050:0:F', '8595191', '8588435', '8579259', '8588452', '8592190', '8501120:0:7', '8592129', '8504000:0:1', '8592154', '8592074', '8592150', '8592072', '8588449', '8592126', '8510574', '8579255', 'Parent8504000', '8592050:0:D', '8592196', '8501181', '8501181:0:2', '8591999', '8501120:0:1', '8592158', '8592188', '8588436', '8592050:0:H', '8591979', '8595936', '8579258', '8501160', '8588434', '8595625', '8593798', '8592160', '8592189', '8592042', '8592198', '8588451', '8504000:0:2', '8592159', '8588441', '8588445:0:D', '8592195', '8592156', '8592079', '8592123', '8588447', '8592182', '8591991', 'Parent8501120', '8588450', '8593856', '8591818', '8592051', '8501318', '8501121:0:1', '8592043', '8579253', '8588448', '8592162', '8595192', '8504010', '8501122:0:2', '8588432'})",8592151,"Lutry, Colline",46.510628,6.6793246
"(1, 'already visited', {'8501121:0:2', '8592146', 'Parent8504003', '8591976', '8592147', '8504003', '8593850', '8593795', '8592177', '8509297', '8579257', '8595191', '8579259', '8588452', '8504003:0:2', '8592185', '8592190', '8592153', '8588440', '8592169', '8504000:0:1', '8592199', '8592154', '8592150', '8588449', '8504003:0:1', '8504000', '8588445:0:B', 'Parent8501122', '8592155', '8588445', '8588446', 'Parent8504000', '8592161', '8592196', 'Parent8501121', '8588442', '8592158', '8595190', '8592188', '8588436', 'Parent8588445', '8593861', '8579258', '8592151', '8588434', '8595625', '8593798', '8592164', '8579256', '8592160', '8592189', '8592152', '8588438', '8504010:0:2', '8592167', '8588451', '8504000:0:2', '8592159', '8592183', '8588441', '8592157', '8588445:0:D', '8592195', '8592156', '8592149', '8588443', '8592145', '8588447', '8592182', '8588439', '8504010:0:1', '8579260', 'Parent8504010', '8588450', '8593856', '8501318', '8501319', '8501122:0:1', '8593806', '8501121:0:1', '8592168', '8588448', '8592162', '8595192', '8504010', '8501122:0:2'})",8592145,"Lutry, avenue William",46.509422,6.681786
"(0, 67.0, ['8592087', '8501162', '8592173', '8592180', '8592217', 'Parent8518452', '8592215', '8592114', '8592219', '8501209', 'Parent8518452', '8510543', '8501209', '8501210'])",8592087,"Lausanne, Parc Rivier",46.536076,6.615454
"(0, 67.0, ['8592053', '8592076', '8592104', '8592109', '8592102', '8592103', '8501209', 'Parent8518452', '8510543', '8518452:0:1', '8518452:0:2', '8518452:0:3', '8518452:0:4', '8592049', '8592105', '8593844', '8501208', '8592102', '8592022', '8501208', '8501209', '8518452:0:1', '8501209', 'Parent8518452', '8592215', '8501209', '8592217', '8510543', '8592179', '8518452:0:1', '8518452:0:2', '8518452:0:3', '8518452:0:4', '8592049', '8592105', '8592103', '8510543', '8592179', '8518452:0:2', '8501209', 'Parent8518452', '8510543', '8592179', '8518452:0:1', '8518452:0:3', '8501209', 'Parent8518452', '8510543', '8592179', '8518452:0:1', '8518452:0:2', '8518452:0:4', '8501209', 'Parent8518452', '8510543', '8592179', '8518452:0:1', '8518452:0:2', '8518452:0:3', '8592049', '8592105', '8593844', '8592103', '8501208', '8592049', '8592105', '8593844', '8592103', '8501208', '8518452:0:4', '8592049', '8592105', '8593844', '8592103', '8501208', '8518452:0:3', '8518452:0:4', '8592049', '8592105', '8593844', '8592103', '8501208', '8518452:0:2', '8518452:0:3', '8518452:0:4', '8592105', '8501209', '8501210'])",8592053,"Lausanne, Grande-Borde",46.52994,6.631786
"(0, 39.0, ['8592036', '8592102', '8592103', '8501209', '8501210'])",8592036,"Lausanne, Ecole des Métiers",46.52423,6.617143
"(1, 'already visited', {'8592191', '8592009', '8592053', '8592138', '8592131', '8510575', '8579238', '8579254', '8592017', '8592002', '8592127', '8579246', '8579238:0:D', '8592129', '8592074', '8579237', '8592048', '8592091', '8592111', '8592065', '8592126', '8592031', '8510574', '8595004', '8592099', '8592059', '8592025', '8579255', '8592118', '8592071', '8592023', '8588431', '8591981', '8592008', '8591999', '8591977', '8579245', '8591978', '8592016', '8592082', '8591982', '8589523', '8504176', '8591997', '8592045', '8592042', '8592066', '8592115', '8592083', '8592012', '8592038', '8592101', '8592123', '8592034', '8591991', '8592051', '8592047', '8592054', '8592043', '8592136', '8592137', '8592067', '8590442', '8592112', '8588432'})",8592031,"Lausanne, Devin",46.530216,6.6519527
